ward_code,ward_name,pt_accessibility_2013,Homes _os_access_2013
E05000311,Hacton,-10.03581351,-7.445336656
E05000312,Harold Wood,-9.731786787,2.675970699
E05000313,Havering Park,-12.05285863,18.32841736
E05000314,Heaton,-11.89828863,-0.103184579
E05000315,Hylands,-12.03865387,-10.74946153
E05000316,Mawneys,-9.317735538,-4.275862104
E05000317,Pettits,-11.1710129,2.174453765
E05000318,Rainham and Wennington,-12.61130762,5.888579061
E05000319,Romford Town,3.129564434,-20.93008143
E05000320,St Andrew's,-4.150315179,-14.66550608
E05000321,South Hornchurch,-9.231185415,12.16248723
E05000322,Squirrel's Heath,-8.436301,-24.7488092
E05000323,Upminster,-13.15437228,3.742354655
E05000324,Barnhill,-9.586940773,2.898293136
E05000325,Botwell,-5.179431606,1.962121371
E05000326,Brunel,-9.596063881,-2.352882202
E05000327,Cavendish,-11.99493149,-8.835081215
E05000328,Charville,-9.831032546,9.408335195
E05000329,Eastcote and East Ruislip,-14.91235094,7.873201319
E05000330,Harefield,-16.72006024,10.40859877
E05000331,Heathrow Villages,-8.422376418,-4.951622467
E05000332,Hillingdon East,-14.94178189,8.827872955
E05000333,Ickenham,-12.16338066,9.577091257
E05000334,Manor,-6.371098748,-8.296101433
E05000335,Northwood,-10.99102964,10.37233865
E05000336,Northwood Hills,-12.4109362,5.496664306
E05000337,Pinkwell,-7.679462567,-4.334126038
E05000338,South Ruislip,-8.818233159,15.00055186
E05000339,Townfield,-5.163928744,3.055879713
E05000340,Uxbridge North,-10.1767975,1.238802419
E05000341,Uxbridge South,-9.120239482,-8.816102848
E05000342,West Drayton,-9.735487212,-13.78328325
E05000343,West Ruislip,-11.54933094,5.36519483
E05000344,Yeading,-13.30484415,3.075061886
E05000345,Yiewsley,-8.762930414,-4.25680074
E05000346,Bedfont,-11.73892961,8.519996548
E05000347,Brentford,-3.953362134,8.884627959
E05000348,Chiswick Homefields,-1.139682835,15.29891992
E05000349,Chiswick Riverside,-6.70324732,5.472871056
E05000350,Cranford,-9.701927699,-3.082773762
E05000351,Feltham North,-6.115625967,7.650124124
E05000352,Feltham West,-9.703957817,3.714708953
E05000353,Hanworth,-8.37699901,10.9939502
E05000354,Hanworth Park,-8.546378472,9.882271824
E05000355,Heston Central,-6.32623433,0.593610053
E05000356,Heston East,-10.377578,9.025281678
E05000357,Heston West,-10.28223482,5.894367825
E05000358,Hounslow Central,9.551067794,2.222582312
E05000359,Hounslow Heath,-4.021464323,5.293921611
E05000360,Hounslow South,-9.077024699,-7.125227005
E05000361,Hounslow West,0.786639508,-7.058996655
E05000362,Isleworth,-9.875629237,2.087997094
E05000363,Osterley and Spring Grove,-7.277447572,13.01384174
